,job_ref,job_title,location,salary,description,type,extraction_date
0,['7245/KD'],Pricing Data Scientist ,['London'],£40000 - £50000 per annum + benefits + bonus,"Pricing Data Scientist London £40,000-£50,000THE COMPANYApplying exploratory advanced analytics and machine learning to customer loyalty problems, this company are a global consultancy working with huge clients.THE ROLE As a Pricing Data Scientist, you will be building machine learning solutions to pricing problems within insurance - rolling them out across the business and adding massive value.KEY SKILLS AND EXPERIENCEHOW TO APPLYPlease register your interest by sending your CV to Kian Dixon via the Apply link on this page. For more information about similar roles, please get in touch!Creating initial machine learning proofs of concept, in PythonBuilding and implementing machine learning solutions, using Python, AWS and PySpark, to generate insights that can potentially save or make the company millionsEffectively delivering technical concepts to non-technical management and stakeholdersResearching cutting-edge machine learning techniques and applying these to commercial problems within the insurance industryCommercial experience using Python and its libraries, as well as AWSThe successful Data Scientist will have proven commercial experience working with large, messy data sets to generate proofs of concept and building machine learning models in PythonThe ideal candidate will have commercial experience effectively delivering machine learning solutions to clientsExperience effectively communicating technical concepts to non-technical management and stakeholders is essential",Permanent,2019-10-23
0,['VACNM23wks1-'],Lead Data Scientist,['London'],£100000 - £110000 per annum + Benefits,"Lead Data ScientistRetailLondon£95,000 + benefitsTHE COMPANYHarnham are working with one of the leaders in the retail space who are looking for a Lead Data Scientist/Data Science Manager to come on board in their London office.Projects include:There is a very social culture at the company and many great incentives on offer.DATA SCIENTIST - OVERVIEWYou will be:DATA SCIENTIST - YOUR SKILLS AND EXPERTISEDATA SCIENTIST - BENEFITSAs a Data Scientist you could earn up to £110,000 + benefits packageHOW TO APPLYPlease register your interest by sending your CV via the Apply link on this page.CONTACTFor further details or to enquire about other roles, please contact Nick Mandella at Harnham.KEYWORDSPython, R, SQL, Statistical Modelling, Data Science, Data Scientist, Product optimisation, personalisation, segmentation, customer, statistics, machine learning, betting, gaming, gambling. understanding customer engagement and factors driving loyaltyCRM and marketingpricing and promotionssupply chain optimisationexploratory machine learningrecommender systemsResponsible for the development and generation of machine learning algorithms to improve product optimisationMentoring junior data scientists in the teamDelivering effective insight and recommendations to the businessM.Sc. in a STEM subjectExperience using R or Python, and SQLMentoring experience (ideally management) is required",Permanent,2019-10-23
0,['VASNF348rjhf0-23484'],Lead Machine Learning Engineer,['London'],£85000 - £100000 per annum + Benefits,"Lead Machine Learning EngineerDeep Learning + NLPLondon£85,000 - £100,000OVERVIEWHarnham are currently working exlusviely with a start-up in London who are building a brand new product to be launched soon!As part of this product, you will be expected to come in as a Lead Machine Learning Engineer, focused on building and deploying NLP models, sentiment analysis and other machine learning / deep learning projects!The product itself looks to help big brands and retail banks better interact with their customers, ensuring high levels of engagement across marketing channels.THE ROLESKILLS AND EXPERTISEHOW TO APPLYTo be considered for this exciting opportunity, please submit your details using the Apply button on this page. Or for more information regarding other roles please contact Nick Mandella at Harnham.SALARYThis pays up to £100,000 + benefits.KEYWORDSPython, computer science, machine learning, artifical intelligence, deep learning, natural language processing, information extraction, information retrieval, NLP, Data Scientist, Data Science, Text analytics, theano, keras, tensorflow. On a daily basis you will be:Researching and developing deep learning algorithms to help solve language and text-based problemsCollaborating with a team of R&D Data Scientists from a wide variety of backgroundsHelping to drive forward the company's growth and product roadmapChampioning the use of data science and deep learning within the businessExperience programming with PythonKnowledge of at least one deep learning library3-5 years working withing NLP and deep learning A Ph.D. in Computer Science, Machine Learning, Artificial Intelligence, Deep Learning etc.",Permanent,2019-10-23
0,"['VACNW""M1-we']",NLP Scientist,['London'],£90000 - £100000 per annum + Benefits,"NLP ScientistLondon£90,000 - £100,000OVERVIEWHarnham are currently working exclusively with a start-up in London who are building a brand new product to be launched soon!As part of this product, you will be expected to come in as a Lead Machine Learning Engineer, focused on building and deploying NLP models, sentiment analysis and other machine learning / deep learning projects!The product itself looks to help big brands and retail banks better interact with their customers, ensuring high levels of engagement across marketing channels.THE ROLESKILLS AND EXPERTISE HOW TO APPLYTo be considered for this exciting opportunity, please submit your details using the Apply button on this page. Or for more information regarding other roles please contact Nick Mandella at Harnham.SALARYThis pays up to £100,000 + benefits.KEYWORDSPython, computer science, machine learning, artifical intelligence, deep learning, natural language processing, information extraction, information retrieval, NLP, Data Scientist, Data Science, Text analytics, theano, keras, tensorflow. On a daily basis you will be:Researching and developing deep learning algorithms to help solve language and text-based problemsCollaborating with a team of R&D Data Scientists from a wide variety of backgroundsHelping to drive forward the company's growth and product roadmapChampioning the use of data science and deep learning within the businessA Ph.D. in Computer Science, Machine Learning, Artificial Intelligence, Deep Learning etc.Experience programming with PythonKnowledge of at least one deep learning library3-5 years working withing NLP and deep learningExperience in chatbots is also very desirable! ",Permanent,2019-10-23
0,['67222/KD'],Senior Data Scientist ,['London'],£70000 - £80000 per annum + benefits + bonus,"Senior Data Scientist London£70,000-£80,000 + benefits + bonusDo you want to be a big part of a data transformation within the biggest online retailer? THIS COMPANY:This global ecommerce company is heavily investing in rapidly building out their R&D core data science function. Join an exploratory Data Science team that implements advanced cutting-edge machine learning models to generate the best service in the industry. You will be a core part of a culture that drives pioneering ideas, receiving excellent training and learning opportunities and reporting into one of the leaders in the field.THE ROLE:Working closely with lots of different business areas, performing internal consultancy work, to improve performance. You will lead your own technical problems and take on as much or as little responsibility as you feel you can manage, with the opportunity to manage if you choose.YOUR SKILLS AND EXPERIENCE:THE BENEFITS:HOW TO APPLY:Please register your interest by sending your CV to Kian Dixon via the Apply link on this page. For more information about similar roles, please get in touch!Exploring research on machine learning techniquesApplying state-of-the-art predictive modelling and machine learning techniques, in Python, to large data sets to setUsing SQL for data manipulationEffectively delivering technical concepts to non-technical stakeholdersExtensive knowledge and use of Python for machine learning and SQL for manipulating dataProven commercial experience applying machine learning techniques using PythonThe successful data scientist will have industrial experience using experimental machine learning techniques, in Python, for driving the business forwardsThe ideal candidate will have the ability to communicate heavily technical concepts in an effective way and have experience delivering such to non-technical stakeholders£70,000-£80,000 + benefits + bonusFortnightly meet ups",Permanent,2019-10-23
0,['64695'],Machine Learning Engineer/ NLP Engineer,['London'],£60000 - £120000 per annum + Equity + flexible working,"Machine Learning Engineer/ NLP EngineerLondon, UK£60,000 - £100,000 SalaryOVERVIEWGrowing data-driven company in the HR/ recruitment space are looking for a Machine Learning Engineer to spearhead their new fundamental product move. As a Machine Learning Engineer you will be building a chatbot with Machine Learning and NLP techniques. Your role as an ML Engineer will include:YOUR SKILLS AND EXPERIENCETHE BENEFITSHOW TO APPLYPlease register your interest by sending your CV to Luke Frost via the Apply Link on this page.Building advanced NLP models using Machine Learning techniquesApply recurrent neural networks and other NLP techniques to build new productEngage with business stakeholders and deliver the product in a pragmatic wayLead the development of this new essential product and plan its design and deploymentPhD (or MSc + exp) from Top Uni in Machine Learning, Maths or StatisticsVery strong knowledge and experience building NLP modelsStrong experience of NLP modelling and knowledge of NLP techniquesStrong ML model deployment knowledgeStrong SalaryEquityFlexible working",Permanent,2019-10-23
0,['VACNRM29'],Deep Learning Researcher,['London'],£65000 - £70000 per annum,"Deep Learning ResearcherLondon£60,000 - £70,000OVERVIEWHarnham are currently working with an R&D-focused data science team in central London who are looking to hire three Data Scientists with a very unique skill-set.There are a number of roles being recruited for and my client is looking for data scientists with experience in the following areas for a number of research-related projects: deep learning, computational linguistics, NLP, computer vision and machine learning.You will work in a commercial setting on a number of different short and long term projects for clients, whilst also having the opportunity to carry out your own research projects on the side.This is the perfect role for someone keen to stay at the forefront of their discipline and use the latest techniques in the data science space to help solve real-world problems.THE ROLEOn a daily basis you will be:SKILLS AND EXPERTISEHOW TO APPLYTo be considered for this exciting opportunity, please submit your details using the Apply button on this page. Or for more information regarding other roles please contact Nick Mandella at Harnham.SALARYThis pays up to £70,000 + benefits.KEYWORDSPython, R, SQL, Hadoop, computer science, machine learning, artificial intelligence, deep learning, computer vision, natural language processing, NLP, Data Scientist, Data Science. Research and develop deep learning algorithms to help solve computer vision problemsUtilise NLP techniques to deliver key insights on text-based problemsWork within a core group of Research ScientistsChampioning the use of data/data science within the businessExperience programming with R or PythonKnowledge of a deep learning library such as pytorch, tensorflow or kerasAn MSc or Ph.D. in Computer Science, Machine Learning, Artificial Intelligence, Deep Learning etc.",Permanent,2019-10-23
0,['59642'],Data Scientist,['London'],"£50000 - £80000 per annum + Huge Bonus and Pension, flex working","Data ScientistLondon (central)£50,000 - £80,000 Salary + Huge Bonus and PensionData-driven Investment company are looking for a Data Scientist to join their Analytics team and help make the sales function more targeted and personalised for customers!OVERVIEWThis Investment/ Asset Mgt. giant have the most data-driven and established analytics team in their market, they have pioneered the use of Data Science in their industry. They need a Data Scientist with strong communication skills to join their team and help with consumer recommendation.Your responsibilities as a Data Scientist will include, but not be limited to, the following:YOUR SKILLS AND EXPERIENCEA successful Data Scientist for this role will have the following:THE BENEFITSHOW TO APPLYPlease register your interest by sending your CV to Luke Frost via the apply link on this page. Build ML models focused on customer recommendation and consumer behaviourPresent insights/ concepts to financial stakeholders effectively and communicate to a very high standardApply ML techniques to alternative data sources to identify insightful investment opportunitiesEngage with stakeholders and help influence decision making through Data Science.Msc/ BSc from a Top University1 years' Commercial experience in Data Science/ Machine Learning/ Advanced AnalyticsVery strong communication skills and experience in presenting/ reportingPreferably experience in a client facing role at a top company i.e. consulting, ad-tech, media agency etcCompetitive SalaryUp to 80% discretionary bonusHuge non-contributory pensionFlexible working",Permanent,2019-10-23
0,['VACnew2fjf'],Data Scientist | Machine Learning,['London'],£70000 - £75000 per annum + Benefits,"Data Scientist | Machine LearningTravelLondon£70,000 - £75,000The CompanyHarnham are helping one of the largest and most exciting online travel companies in hiring a new R&D Data Scientist.As a team your goal is to maximise the company's data through the use of machine learning and artificial intelligence.You will be joining an impressive team in solving complex analytical problems, creating solutions through the use of cutting-edge technologies and methodologies.The Role - Data ScientistYou will be:Your Skills and Experience - Data ScientistYou must have:The Benefits - Data Scientist£70,000 - £75,000 + benefitsHow to Apply?Please register your interest by sending your CV via the Apply link on this page.KeywordsR, Python, Pandas, Scala, SQL, Hive, Hadoop, Spark, Machine Learning, Statistics, Artificial Intelligence, Mathematics, AWS, Kafka, Azure, Algorithm, Optimisation, Recommendation System, Research, Pricing, Marketing, Online, Data Scientist, Data Science, Predictive modelling, Forecasting. Developing and implementing custom algorithms across the website for the companySupporting and optimising the recommendation algorithms already in placeResearch, exploring data sets and carrying out proof of concept workLeading your own workload and projectsClosely collaborating with other scientists across the UK, Europe and Silicon Valley.An MSc or Ph.D. in Computer Science, Machine Learning, Statistics, Artificial Intelligence or MathematicsExperience of working with large volumes of dataExperience in programming with PythonA knowledge of querying languages such as SQL is advantageousWork experience with Spark is desirable",Permanent,2019-10-23
0,['VACNM-36'],Data Scientist - Manager,['London'],£85000 - £95000 per annum + Bonus,"Data Scientist - ManagerLondon£90,000 - £95,000 + disc. bonus THE ROLE:A global retail bank is looking for a Lead Data Scientist / Data Science Manager to join their Data Science function in London to build a new machine learning practice from the ground-up. You will join and manage a team of 2, responsible for future hiring. You will form a team focused on bringing machine learning best-practice into the business, solving problems and identifying new opportunities. This is a pivotal role and you will be expected to deliver a number of projects ranging from recommender systems, NLP and text classification (of center data), marketing campaign analysis and product matching.The Lead Data Scientist will also be required to spend a proportion of their time on R&D related projects to help the business achieve ROI.WHAT YOU NEED:THE BENEFITS You can earn up to £95,000 + bonus + benefits in this position.HOW TO APPLY To be considered for this exciting opportunity, please submit your details using the Apply button on this page. For more information about similar roles please contact Nick Mandella at Harnham.KEYWORDSR, Python, SQL, Hadoop, Data Scientist, Data Science, Machine Learning, Supervised Learning, Unsupervised Learning, Financial Services, Retail Bank, Customer, Data, Analyst, Analysis, London.A deep knowledge of both supervised and unsupervised machine learning techniquesA wealth of experience in the application of machine learning to solve complex business problems Experience in working with big sets of customer dataStrong communication skillsAn MSc or equivalent in a statistical/quantitative subjectStrong skills in R or PythonExperience in using SQL (Hadoop or Spark experience is a bonus)A track record in using machine learning to draw hidden insights from data",Permanent,2019-10-23
