,company,job_title,salary,location,description,date
0,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
1,"
        causaLens",Data Scientist,"
                            £35,000 - £90,000 a year",Nothing_found,"
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series.",Nothing_found
2,"
        Xcede Digital",Senior Data Engineer,"
                            £55,000 - £75,000 a year",Nothing_found,"
 As a Data Engineer, you will work on the development of data pipelines and the data lake itself.Having worked on building batch and stream data pipelines for a…",Nothing_found
3,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
4,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
5,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
 Attention to detail, ensuring accurate recording of data.We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
6,"

        Government Communications Headquarters (GCHQ)",Entry Level Opportunities - Bude,"
                            £20,981 a year",Bude,"
 As a Trainee Data Specialist, you’ll learn how to collect, monitor and assure data processing, providing the insight our analysts need to fight terrorism,…",14 days ago
7,"

        UK Government - Cabinet Office","Digital, Data and Technology Fast Stream","
                            £28,000 a year",Remote,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",24 days ago
8,"

        UK Government - Home Office",Digital Data and Technology Apprenticeships,"
                            £27,762 - £31,362 a year",Croydon,"
 As an Apprentice Data Analyst you will work alongside more senior data analysts to:Apply the tools and techniques for data analysis, data visualisation and…",12 days ago
9,"

        Nationwide Building Society",Graduate Programme 2020,"
                            £28,000 a year",United Kingdom,"
 Our two-year programme makes sure you experience many parts of the Society, so you can see how it all works together, as well as gaining in depth knowledge of…",19 days ago
10,"
        Hatkas",Data Entry,"
                            £17,000 - £22,000 a year",Birmingham,"
 We are looking for an Office Administrator to manage the daily business activities to be based in Birmingham.",11 days ago
11,"

        BMW Hams Hall Motoren GmbH",Data Science- 13 Month Placement (July 2020),"
                            £17,500 a year",Hall,"
 Working with large data sets on big data platforms (e.g Hadoop, AWS, Spark).Our manufacturing systems produce significant amounts of data and we need data…",19 days ago
