,job_ref,job_title,location,salary,description,type,extraction_date,salary_low,salary_high
0,['7245/KD'],Pricing Data Scientist ,London,£40000 - £50000 per annum + benefits + bonus,   £40000-£50000  Applying exploratory advanced analytics and machine learning to customer loyalty problems this company are a global consultancy working with huge clients   As a Pricing Data Scientist you will be building machine learning solutions to pricing problems within insurance - rolling them out across the business and adding massive value KEY SKILLS AND EXPERIENCE  Please register your interest by sending your CV to Kian Dixon via the Apply link on this page For more information about similar roles please get in touch Creating initial machine learning proofs of concept in Python Building and implementing machine learning solutions using Python AWS and PySpark to generate insights that can potentially save or make the company millions Effectively delivering technical concepts to non-technical management and stakeholders Researching cutting-edge machine learning techniques and applying these to commercial problems within the insurance industry Commercial experience using Python and its libraries as well as AWS The successful Data Scientist will have proven commercial experience working with large messy data sets to generate proofs of concept and building machine learning models in Python The ideal candidate will have commercial experience effectively delivering machine learning solutions to clients Experience effectively communicating technical concepts to non-technical management and stakeholders is essential,Permanent,2019-10-24,40000,50000
1,['VACNM23wks1-'],Lead Data Scientist,London,£100000 - £110000 per annum + Benefits,Retail£95000     are working with one of the leaders in the retail space who are looking for a Data Science Manager to come on board in their  office Projects include: There is a very social culture at the company and many great incentives on offer DATA SCIENTIST -  You will be: DATA SCIENTIST -  DATA SCIENTIST -  As a Data Scientist you could earn up to £110000   package     or to enquire about other roles please contact  at   Python R SQL Statistical Modelling Data Science Data Scientist Product optimisation personalisation segmentation customer statistics machine learning betting gaming gambling   understanding customer engagement and factors driving loyalty CRM and marketing pricing and promotions supply chain optimisation exploratory machine learning recommender systems Responsible for the development and generation of machine learning algorithms to improve product optimisation Mentoring junior data scientists in the team Delivering effective insight and recommendations to the business MSc in a STEM subject Experience using R or Python and SQL Mentoring experience (ideally management) is required,Permanent,2019-10-24,100000,110000
2,['VASNF348rjhf0-23484'],Lead Machine Learning Engineer,London,£85000 - £100000 per annum + Benefits,"Deep Learning  NLP£85000 - £100000   are currently working exlusviely with a start-up in  who are building a brand new product to be launched soon As part of this product you will be expected to come in as a  focused on building and deploying NLP models sentiment analysis and other machine learning  deep learning projects The product itself looks to help big brands and retail banks better interact with their customers ensuring high levels of engagement across marketing channels  SKILLS AND EXPERTISE  To be considered for this exciting opportunity please submit your details using the Apply button on this page Or for more information regarding other roles please contact  at   This pays up to £100000    Python computer science machine learning artifical intelligence deep learning natural language processing information extraction information retrieval NLP Data Scientist Data Science Text analytics theano keras tensorflow    Researching and developing deep learning algorithms to help solve language and text-based problems Collaborating with a team of R&D Data Scientists from a wide variety of backgrounds ""Helping to drive forward the companys growth and product roadmap"" Championing the use of data science and deep learning within the business Experience programming with Python Knowledge of at least one deep learning library 3-5 years working withing NLP and deep learning  A PhD in Computer Science Machine Learning Artificial Intelligence Deep Learning etc",Permanent,2019-10-24,85000,100000
3,"['VACNW""M1-we']",NLP Scientist,London,£90000 - £100000 per annum + Benefits,"£90000 - £100000   are currently working exclusively with a start-up in  who are building a brand new product to be launched soon As part of this product you will be expected to come in as a Lead Machine Learning Engineer focused on building and deploying NLP models sentiment analysis and other machine learning  deep learning projects The product itself looks to help big brands and retail banks better interact with their customers ensuring high levels of engagement across marketing channels  SKILLS AND EXPERTISE    To be considered for this exciting opportunity please submit your details using the Apply button on this page Or for more information regarding other roles please contact  at   This pays up to £100000    Python computer science machine learning artifical intelligence deep learning natural language processing information extraction information retrieval NLP Data Scientist Data Science Text analytics theano keras tensorflow    Researching and developing deep learning algorithms to help solve language and text-based problems Collaborating with a team of R&D Data Scientists from a wide variety of backgrounds ""Helping to drive forward the companys growth and product roadmap"" Championing the use of data science and deep learning within the business A PhD in Computer Science Machine Learning Artificial Intelligence Deep Learning etc Experience programming with Python Knowledge of at least one deep learning library 3-5 years working withing NLP and deep learning Experience in chatbots is also very desirable ",Permanent,2019-10-24,90000,100000
4,['67222/KD'],Senior Data Scientist ,London,£70000 - £80000 per annum + benefits + bonus,  £70000-£80000    bonus Do you want to be a big part of a data transformation within the biggest online retailer?  THIS COMPANY: This global ecommerce company is heavily investing in rapidly building out their R&D core data science function Join an exploratory Data Science team that implements advanced cutting-edge machine learning models to generate the best service in the industry You will be a core part of a culture that drives pioneering ideas receiving excellent training and learning opportunities and reporting into one of the leaders in the field : Working closely with lots of different business areas performing internal consultancy work to improve performance You will lead your own technical problems and take on as much or as little responsibility as you feel you can manage with the opportunity to manage if you choose : : : Please register your interest by sending your CV to Kian Dixon via the Apply link on this page For more information about similar roles please get in touch Exploring research on machine learning techniques Applying state-of-the-art predictive modelling and machine learning techniques in Python to large data sets to set Using SQL for data manipulation Effectively delivering technical concepts to non-technical stakeholders Extensive knowledge and use of Python for machine learning and SQL for manipulating data Proven commercial experience applying machine learning techniques using Python The successful data scientist will have industrial experience using experimental machine learning techniques in Python for driving the business forwards The ideal candidate will have the ability to communicate heavily technical concepts in an effective way and have experience delivering such to non-technical stakeholders £70000-£80000    bonus Fortnightly meet ups,Permanent,2019-10-24,70000,80000
5,['64695'],Machine Learning Engineer/ NLP Engineer,London,£60000 - £120000 per annum + Equity + flexible working,  UK £60000 - £100000 Salary  Growing data-driven company in the HR recruitment space are looking for a Machine Learning Engineer to spearhead their new fundamental product move As a Machine Learning Engineer you will be building a chatbot with Machine Learning and NLP techniques Your role as an ML Engineer will include:    Please register your interest by sending your CV to Luke Frost via the Apply Link on this page Building advanced NLP models using Machine Learning techniques Apply recurrent neural networks and other NLP techniques to build new product Engage with business stakeholders and deliver the product in a pragmatic way Lead the development of this new essential product and plan its design and deployment PhD (or MSc  exp) from Top Uni in Machine Learning Maths or Statistics Very strong knowledge and experience building NLP models Strong experience of NLP modelling and knowledge of NLP techniques Strong ML model deployment knowledge Strong Salary Equity Flexible working,Permanent,2019-10-24,60000,120000
6,['VACNRM29'],Deep Learning Researcher,London,£65000 - £70000 per annum, £60000 - £70000   are currently working with an R&D-focused data science team in central  who are looking to hire three Data Scientists with a very unique skill-set There are a number of roles being recruited for and my client is looking for data scientists with experience in the following areas for a number of research-related projects: deep learning computational linguistics NLP computer vision and machine learning You will work in a commercial setting on a number of different short and long term projects for clients whilst also having the opportunity to carry out your own research projects on the side This is the perfect role for someone keen to stay at the forefront of their discipline and use the latest techniques in the data science space to help solve real-world problems    SKILLS AND EXPERTISE  To be considered for this exciting opportunity please submit your details using the Apply button on this page Or for more information regarding other roles please contact  at   This pays up to £70000    Python R SQL Hadoop computer science machine learning artificial intelligence deep learning computer vision natural language processing NLP Data Scientist Data Science   Research and develop deep learning algorithms to help solve computer vision problems Utilise NLP techniques to deliver key insights on text-based problems Work within a core group of Research Scientists Championing the use of datadata science within the business Experience programming with R or Python Knowledge of a deep learning library such as pytorch tensorflow or keras An MSc or PhD in Computer Science Machine Learning Artificial Intelligence Deep Learning etc,Permanent,2019-10-24,65000,70000
7,['59642'],Data Scientist,London,"£50000 - £80000 per annum + Huge Bonus and Pension, flex working","  (central) £50000 - £80000 Salary  Huge Bonus and Pension Data-driven Investment company are looking for a  to join their Analytics team and help make the sales function more targeted and personalised for customers  This Investment Asset Mgt giant have the most data-driven and established analytics team in their market they have pioneered the use of Data Science in their industry They need a  with strong communication skills to join their team and help with consumer recommendation Your responsibilities as a  will include but not be limited to the following:  A successful  for this role will have the following:   Please register your interest by sending your CV to Luke Frost via the apply link on this page   Build ML models focused on customer recommendation and consumer behaviour Present insights concepts to financial stakeholders effectively and communicate to a very high standard Apply ML techniques to alternative data sources to identify insightful investment opportunities Engage with stakeholders and help influence decision making through Data Science Msc BSc from a Top University ""1 years Commercial experience in Data Science Machine Learning Advanced Analytics"" Very strong communication skills and experience in presenting reporting Preferably experience in a client facing role at a top company ie consulting ad-tech media agency etc Competitive Salary Up to 80% discretionary bonus Huge non-contributory pension Flexible working",Permanent,2019-10-24,50000,80000
8,['VACnew2fjf'],Data Scientist | Machine Learning,London,£70000 - £75000 per annum + Benefits,"Travel£70000 - £75000 The Company  are helping one of the largest and most exciting online travel companies in hiring a new R&D Data Scientist ""As a team your goal is to maximise the companys data through the use of machine learning and artificial intelligence"" You will be joining an impressive team in solving complex analytical problems creating solutions through the use of cutting-edge technologies and methodologies The Role - Data Scientist You will be: Your Skills and Experience - Data Scientist You must have: The Benefits - Data Scientist £70000 - £75000   How to Apply?  Keywords R Python Pandas Scala SQL Hive Hadoop Spark Machine Learning Statistics Artificial Intelligence Mathematics AWS Kafka Azure Algorithm Optimisation Recommendation System Research Pricing Marketing Online Data Scientist Data Science Predictive modelling Forecasting   Developing and implementing custom algorithms across the website for the company Supporting and optimising the recommendation algorithms already in place Research exploring data sets and carrying out proof of concept work Leading your own workload and projects Closely collaborating with other scientists across the UK Europe and Silicon Valley An MSc or PhD in Computer Science Machine Learning Statistics Artificial Intelligence or Mathematics Experience of working with large volumes of data Experience in programming with Python A knowledge of querying languages such as SQL is advantageous Work experience with Spark is desirable",Permanent,2019-10-24,70000,75000
9,['VACNM-36'],Data Scientist - Manager,London,£85000 - £95000 per annum + Bonus,£90000 - £95000  disc bonus : A global retail bank is looking for a Lead Data Scientist  Data Science Manager to join their Data Science function in  to build a new machine learning practice from the ground-up You will join and manage a team of 2 responsible for future hiring  You will form a team focused on bringing machine learning best-practice into the business solving problems and identifying new opportunities  This is a pivotal role and you will be expected to deliver a number of projects ranging from recommender systems NLP and text classification (of center data) marketing campaign analysis and product matching The Lead Data Scientist will also be required to spend a proportion of their time on R&D related projects to help the business achieve ROI WHAT YOU NEED:  You can earn up to £95000  bonus   in this position  To be considered for this exciting opportunity please submit your details using the Apply button on this page For more information about similar roles please contact  at   R Python SQL Hadoop Data Scientist Data Science Machine Learning Supervised Learning Unsupervised Learning Financial Services Retail Bank Customer Data Analyst Analysis  A deep knowledge of both supervised and unsupervised machine learning techniques A wealth of experience in the application of machine learning to solve complex business problems  Experience in working with big sets of customer data Strong communication skills An MSc or equivalent in a statisticalquantitative subject Strong skills in R or Python Experience in using SQL (Hadoop or Spark experience is a bonus) A track record in using machine learning to draw hidden insights from data,Permanent,2019-10-24,85000,95000
